Dashboard   Period GeoCode                                            GeoName                                            VariableType                                       VariableA                                          VariableB                                          Value                   
          3 2018   E07000010                                          NULL                                               LA                                                 NULL                                               NULL                                                                 1181.0
          3 2018   E07000011                                          NULL                                               LA                                                 NULL                                               NULL                                                                 1543.0
          3 2018   E07000012                                          NULL                                               LA                                                 NULL                                               NULL                                                                 1160.0
          3 2018   E07000026                                          NULL                                               LA                                                 NULL                                               NULL                                                                 1085.0
          3 2018   E07000027                                          NULL                                               LA                                                 NULL                                               NULL                                                                  782.0
          3 2018   E07000028                                          NULL                                               LA                                                 NULL                                               NULL                                                                 1205.0
          3 2018   E07000029                                          NULL                                               LA                                                 NULL                                               NULL                                                                  781.0
          3 2018   E07000030                                          NULL                                               LA                                                 NULL                                               NULL                                                                  510.0
          3 2018   E07000031                                          NULL                                               LA                                                 NULL                                               NULL                                                                 1235.0
          3 2018   E07000032                                          NULL                                               LA                                                 NULL                                               NULL                                                                 1332.0
          3 2018   E07000033                                          NULL                                               LA                                                 NULL                                               NULL                                                                  842.0
          3 2018   E07000034                                          NULL                                               LA                                                 NULL                                               NULL                                                                 1226.0
          3 2018   E07000035                                          NULL                                               LA                                                 NULL                                               NULL                                                                  797.0
          3 2018   E07000036                                          NULL                                               LA                                                 NULL                                               NULL                                                                 1172.0
          3 2018   E07000037                                          NULL                                               LA                                                 NULL                                               NULL                                                                  911.0
          3 2018   E07000038                                          NULL                                               LA                                                 NULL                                               NULL                                                                 1204.0
          3 2018   E07000039                                          NULL                                               LA                                                 NULL                                               NULL                                                                  887.0
          3 2018   E07000040                                          NULL                                               LA                                                 NULL                                               NULL                                                                 1871.0
